#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
      350000       6.595076e-03       4.158705e-04       3.576633e-03       1.938839e-01       8.922217e-03       3.638362e-02
      352000       9.740356e-03       4.954221e-04       5.349467e-03       1.841178e-01       7.118732e-03       3.544321e-02
      354000       4.637090e-03       8.717396e-04       2.540605e-03       1.433448e-01       8.661250e-03       3.326407e-02
      356000       1.545901e-02       5.612333e-04       8.175326e-03       1.559288e-01       7.251420e-03       3.450030e-02
      358000       8.757252e-03       5.660211e-04       4.890248e-03       1.897732e-01       9.381239e-03       3.433333e-02
      360000       8.140907e-03       4.285112e-04       4.523827e-03       1.400036e-01       8.835891e-03       3.257607e-02
      362000       9.398357e-03       7.694744e-04       4.783436e-03       2.121556e-01       9.078901e-03       3.720720e-02
      364000       1.483009e-02       7.037912e-04       8.055022e-03       2.226216e-01       7.300878e-03       4.113112e-02
      366000       8.082845e-03       7.742142e-04       4.373658e-03       1.659065e-01       8.899039e-03       3.559075e-02
      368000       1.033386e-02       7.061063e-04       5.326416e-03       1.617813e-01       7.121425e-03       3.804132e-02
      370000       1.286793e-02       2.502610e-04       6.657669e-03       1.441617e-01       9.393932e-03       3.579479e-02
      372000       8.222597e-03       7.172853e-04       4.666465e-03       1.642548e-01       9.053345e-03       3.531355e-02
      374000       1.037252e-02       6.900296e-04       5.931281e-03       1.603896e-01       8.327470e-03       3.445406e-02
      376000       5.820172e-03       1.071205e-03       2.916773e-03       1.785269e-01       7.521398e-03       3.452485e-02
      378000       3.223341e-03       2.245276e-04       1.545483e-03       1.631972e-01       8.111424e-03       3.240409e-02
      380000       7.243088e-03       5.911467e-04       3.831020e-03       2.423330e-01       6.597398e-03       3.551315e-02
      382000       6.468943e-03       4.173014e-04       3.757287e-03       1.405603e-01       9.224041e-03       3.243045e-02
      384000       1.092839e-02       9.404041e-04       5.911118e-03       1.539881e-01       7.388753e-03       3.686292e-02
      386000       1.313186e-02       5.009519e-04       7.260051e-03       1.443831e-01       7.582636e-03       3.649813e-02
      388000       9.027843e-03       7.127317e-04       5.067076e-03       1.913981e-01       8.862145e-03       3.938047e-02
      390000       1.098361e-02       6.576288e-04       6.177516e-03       1.462892e-01       8.106324e-03       3.585208e-02
